source_file,age,utterance,responder,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,yes and the roar was so scared the flower goed away,FAT,8.21185,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she just waked up,FAT,18.806766666666665,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she put it on it and the baby falled over,FAT,19.79703333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030003.xml,1098.75,I just goed past you,FAT,10.599416666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030120.xml,1146.25,that my grandpa drawed that and grandpa drawed that,JES,1.4250833333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030624.xml,1302.75,everyone begans,JES,31.44505,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030721.xml,1330.25,he just r runned an gave it to me,JES,22.886216666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,yeah I maded it and I have I had kayak clothes on,FAT,28.976266666666668,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I just buyed chocolate milk,JES,30.918433333333333,-299.9999999999545,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I drinked it all,JES,31.569066666666668,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,and she even bringed a slide,LAU,0.19668333333333335,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,no she bringed all these aminals but she didn't bring this,LAU,1.7750166666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,Jessica only bringed two o these,LAU,4.885966666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,we gotted,LAU,9.271383333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,the dog waked you up,LAU,28.383516666666665,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,someone throwed me forty four times on the ground,LAU,30.011483333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,I heard that we need chocolate chips and I bringed them over,LAU,7.745383333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,it's from Hans and Tamara sended it to us,LAU,18.834816666666665,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040804.xml,1709,I know where we hided it,LAU,30.34955,0,,
