source_file,age,utterance,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled,14.48725,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled,16.3885,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,I taked a shower,13.210433333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,they're takin bathses,22.725666666666665,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I swimmed in the bathtub,14.371416666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I sayed nothin,27.2636,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,they sayed hi,16.903916666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,I maked a a coat,25.4876,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,he taked his beard off,16.791,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,I drawed xxx beach,25.540183333333335,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I fli in in the in Portugal,2.49415,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,he drinked milk,7.54155,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,his mommy his mommy goed to work,7.60635,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed the sun,14.233483333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed the sun,14.300266666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,my cousins maked me a castle and I played with it,30.12656666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,I gots to pick it up,4.149366666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,I singed a song to the dinosaurs and then they were sleeping,4.617900000000001,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,and I doed that yester when I goed to school,19.83948333333333,-2000,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020409.xml,861.5,oh I loves loves your hair,26.107266666666664,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,yeah I'm going to buy all your milks ta,5.4889,12000,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,sip your milks on this,6.77555,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,somebody drawed that picture,15.639183333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020421.xml,873.5,he's going to broken his arm if he,15.825733333333334,-800.0000000000682,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020421.xml,873.5,drawed Jessie the cow,27.57793333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020428.xml,880.5,I baked you the milk and I maked you a burger,13.07145,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020507.xml,890,did you got my food,22.510966666666665,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020507.xml,890,well I throwed the giant away,28.20293333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020521.xml,904,we getted a pixies,19.360500000000002,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020521.xml,904,I getted a pixies and a candy,19.436416666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020526.xml,909,drinked water and they,8.640166666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020526.xml,909,we pickeded the doggie up and,29.6093,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,when he camed,1.4455666666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,flied around the dinosaurs,3.8958,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,and then I hided,4.13465,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,only all my friends camed,8.065216666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,and then all the mommy was and then the Jillysaurs camed,8.8553,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,then you growed up now to be the daddy,21.049183333333335,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,they're growed up,21.49611666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,you growed up and then that's the daddy,30.199749999999998,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he was cold yeah he was he's a Tyrannosauruses,18.53898333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he went home and ated some trees that were brokened,18.670583333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he falled into this river,18.891983333333332,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020916.xml,1021,they doed her maked her do her chores,3.2765666666666666,4700.000000000017,,
